CSS bytes: 288249
CSS lines: 8741
Simple class selectors: 435
Selectors with no literal source-token match: 188
css_occurrences	selector
72	.wb2-bento-card
45	.v-top-nav
43	.ab-panel
37	.ab-dossier
30	.ab-featured-project
29	.v-control-room-bridge
26	.ab-featured-project-shot
25	.v-control-room-node
24	.v-control-room-core-orbit
22	.v-portrait
20	.ab-dossier-index-item
15	.wb2-bento-head
15	.v-flow-step
14	.v-note-meta
13	.v-control-room-core
12	.wb2-bento-title
12	.wb2-bento-grid
12	.v-control-room-stage
12	.rag-terminal
11	.v-automation-control-room
11	.rag-terminal-trace-row
11	.pd-pres-detail-block
11	.ab-shot
11	.ab-details
10	.v-control-room-card
10	.v-control-room-bridge-right
10	.ab-window
10	.ab-featured-project-open
9	.wb2-bento-card--priority
9	.v-mobile-menu
9	.v-control-room-outputs
9	.v-control-room-node-stack
9	.ab-tabs
8	.pd-pres-footer
8	.blur-up-frame
7	.wb2-capability-tags
7	.wb2-capability-icon
7	.v-tree
7	.v-featured-left-details
7	.pd-pres-links
7	.pd-pres-back
7	.ab-dossier-metric
6	.v-featured-project-link
6	.v-control-room-reference-node-output
6	.v-control-room-inputs
6	.v-control-room-bridge-left
6	.v-control-room-actions
6	.v-automation-node
6	.pd-pres-table
6	.pd-pres-hero
6	.ab-tab
6	.ab-dossier-index-footer
6	.ab-body
5	.wb2-bento-copy
5	.v-mobile-nav-backdrop
5	.v-mobile-nav
5	.v-control-room-node-index
5	.v-control-room-bridge-core
5	.v-automation-connector
5	.press
5	.pd-pres-direction-structure
5	.pd-pres-comparison
5	.pd-pres-button
5	.ab-details-loader
4	.wb2-capability-prompt
4	.wb2-bento-card--workflow
4	.wb2-bento-card--support
4	.wb2-bento-card--reporting
4	.wb2-bento-card--pipeline
4	.wb2-bento-card--onboarding
4	.wb2-bento-card--enrichment
4	.wb2-bento-card--appointments
4	.wb2-bento-card--agent
4	.v-tag
4	.v-prompt-path
4	.v-featured-list
4	.v-featured-headline
4	.v-control-room-core-label
4	.v-control-room-column-label
4	.v-control-room-card-ai
4	.v-automation-node-ai
4	.v-automation-footer
4	.pd-pres-scroll-cue
4	.pd-pres-nav
4	.pd-pres-mockup
4	.pd-pres-direction-copy
4	.pd-pres-brand
4	.lightswind-shiny-text
4	.ab-shot-stage
4	.ab-rows
4	.ab-row
4	.ab-headline
4	.ab-featured-project-shot-label
4	.ab-featured-project-copy
3	.wb2-bento-bottom
3	.v-tags
3	.v-flow
3	.v-featured-num
3	.v-featured-body
3	.v-control-room-node-output
3	.v-control-room-core-note
3	.v-control-room-card-output
3	.pd-pres-recommendation-card
3	.pd-pres-recommendation
3	.pd-pres-note-meta
3	.pd-pres-eyebrow
3	.pd-pres-directions
3	.pd-pres-direction-topline
3	.pd-pres-direction-details
3	.pd-pres-detail-label
3	.pd-pres-button--solid
3	.lightswind-magnetic-button
3	.ab-tab-indicator
3	.ab-shot-layer
3	.ab-kicker
3	.ab-dossier-toolbar-tabs
3	.ab-dossier-metrics
3	.ab-details-arrow
3	.ab-copy
2	.wb2-terminal-dots
2	.wb2-terminal-bar
2	.wb2-gallery-kicker
2	.wb2-capability-number
2	.v-scroll-top
2	.v-prompt
2	.v-hero-proof-line
2	.v-copy-icon
2	.v-control-room-reference-trust
2	.v-control-room-column
2	.v-control-room-card-spark
2	.v-automation-stage
2	.v-automation-reference-frame
2	.v-automation-pulse
2	.pd-presentation
2	.pd-pres-section-heading--directions
2	.pd-pres-recommendation-side
2	.pd-pres-rec-label
2	.pd-pres-note-label
2	.pd-pres-lede
2	.pd-pres-hero-note
2	.pd-pres-hero-grid
2	.pd-pres-direction-signal
2	.pd-pres-brand-mark
2	.lenis-smooth
2	.ab-window-head
2	.ab-shot-card
2	.ab-row-tag
2	.ab-row-name
2	.ab-featured-project-shots
2	.ab-featured-badge
1	.wb2-capability-top
1	.v-status-green
1	.v-featured-standalone-heading
1	.v-control-room-reference-topline
1	.v-control-room-reference-node-index
1	.v-control-room-reference-flow-defs
1	.v-control-room-card-index
1	.v-control-room-bridge-3
1	.v-control-room-bridge-2
1	.v-automation-reference-image
1	.v-automation-index
1	.v-automation-connector-two
1	.v-automation-connector-three
1	.pd-pres-table-wrap
1	.pd-pres-signal
1	.pd-pres-section-heading
1	.pd-pres-recommendation-copy
1	.pd-pres-rec-number
1	.pd-pres-note-copy
1	.pd-pres-hero-actions
1	.pd-pres-direction-type
1	.pd-pres-direction-title
1	.pd-pres-direction-summary
1	.pd-pres-direction-number
1	.pd-pres-direction-list
1	.pd-pres-direction
1	.org
1	.lenis-stopped
1	.is-opening
1	.green
1	.blue
1	.ab-window-count
1	.ab-tabs--after-featured
1	.ab-shot-layer-3
1	.ab-row-index
1	.ab-featured-project-kicker
1	.ab-dossier-tags
1	.ab-dossier-metric-icon
